,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,INTC,,50863.0,,,2018,,70848000000,27111000000,43737000000,0.6173357046070461,13543000000,6750000000,0,6750000000,128000000,20421000000,47532000000,438000000.0,468000000,9085000000,32870000000,0.4639509936766034,23316000000,0.3290989159891599,1000000,23317000000,0.32911303071364045,2264000000,21053000000,0.2971572944896116,4.57,4.48,4611000000,4701000000,,,Semiconductors,,3019000000,8631000000,11650000000,6722000000,7253000000,3162000000,28787000000,48976000000,24513000000,11836000000,36349000000,9430000000,1665000000,2756000000,99176000000,0,127963000000,3824000000,1261000000,0,1665000000,9876000000,16626000000,25098000000,2049000000,1665000000,7543000000,36355000000,0,0,52981000000,0,25365000000,50172000000,-974000000,0,74563000000,74563000000,127544000000,0,127544000000,18061000000,26359000000,23340000000,-1749000000,1546000000,-421000000,-1714000000,211000000,1296000000,-82000000,29432000000,-15181000000,2286000000,-13346000000,15274000000,-272000000,-11239000000,-3026000000,0,-10730000000,-5541000000,690000000,-18607000000,0,-414000000,3019000000,3433000000,29432000000,-15181000000,14251000000,2.8885614292625026,2.8885614292625026,3.040026618254573,10.230361746549185,10.539720321332936,15.113311757076694,7.317878698358928,7.317878698358928,2.257150964799191,3.040026618254573,0.02572664590410312,7.262543530578034,2.8885614292625026,,,194149406996.0,0.09709653900587555,0.5826918718692122,0.7105534916781782,0.41403374412916233,48.886752136752136,0.6173357046070461,0.3290989159891599,28.235183670184945,0.1645241202535108,1.345024568026315,0.0151,0.022,11.120566924811781,9.793617827287358,Technology
1,INTC,,50863.0,,,2017,,62761000000,23663000000,39098000000,0.6229664919297015,13035000000,7452000000,0,7474000000,539000000,21048000000,44711000000,441000000.0,646000000,8129000000,29127000000,0.46409394369114576,17936000000,0.285782571979414,2416000000,20352000000,0.3242778158410478,10751000000,9601000000,0.15297716734914996,2.04,1.99,4701000000,4835000000,,,Semiconductors,,3433000000,10569000000,14002000000,5607000000,6983000000,2908000000,29500000000,41109000000,24389000000,12745000000,37134000000,12404000000,3046000000,56000000,93749000000,0,123249000000,2928000000,1776000000,0,1656000000,11061000000,17421000000,25037000000,0,3046000000,7860000000,35943000000,0,0,53364000000,0,26074000000,42083000000,862000000,0,69019000000,69019000000,122383000000,0,122383000000,22973000000,26813000000,23380000000,1548000000,1358000000,3584000000,-781000000,191000000,5474000000,-2110000000,22110000000,-11778000000,-12976000000,-16464000000,24640000000,816000000,-15762000000,-8080000000,0,-3615000000,-5072000000,8292000000,-8475000000,0,-2127000000,3433000000,5560000000,22110000000,-11778000000,10332000000,3.4042217019878582,3.4042217019878582,3.7436621094230493,24.472031835173418,11.193329766363474,22.740609528600466,10.626683747150611,10.626683747150611,5.504714180446444,3.7436621094230493,0.02158702260202229,8.869295761647269,3.4042217019878582,,,,,0.5599964299913184,0.7731784001506832,0.43297714383078156,30.821981424148607,0.6229664919297015,0.285782571979414,13.910662281400773,0.07789921216399322,,0.025699999999999997,0.0326,,,Technology
2,INTC,,50863.0,,,2016,,59387000000,23196000000,36191000000,0.6094094667183053,12740000000,8397000000,0,8397000000,294000000,21431000000,44627000000,222000000.0,733000000,7790000000,21459000000,0.3613417077811642,12874000000,0.21678145048579656,62000000,12936000000,0.2178254500143129,2620000000,10316000000,0.17370805058346103,2.18,2.12,4730000000,4875000000,,,Semiconductors,,5560000000,11539000000,17099000000,4690000000,5553000000,8166000000,35508000000,36171000000,14099000000,9494000000,23593000000,15322000000,907000000,1826000000,77819000000,0,113327000000,2475000000,4634000000,0,1718000000,11475000000,20302000000,20649000000,0,1730000000,3538000000,25917000000,0,0,46219000000,0,25373000000,40747000000,106000000,0,66226000000,66226000000,112445000000,0,112445000000,26861000000,25283000000,19723000000,257000000,1444000000,668000000,65000000,182000000,302000000,1333000000,21808000000,-9625000000,-16433000000,-21506000000,20413000000,1334000000,-25817000000,-1500000000,0,-2587000000,-4925000000,3273000000,-5739000000,0,-9748000000,5560000000,15308000000,21808000000,-9625000000,12183000000,2.6726148564914083,2.6726148564914083,2.980392871941671,17.157482695424584,12.662473347547975,14.528161494377411,8.116131304383712,8.116131304383712,3.8831950404018505,2.980392871941671,0.02782539459461599,9.16723013588704,2.6726148564914083,,,,,0.5843797153370336,0.6978981064838583,0.40783749680129183,17.345156889495225,0.6094094667183053,0.21678145048579656,15.576963730256999,0.09102861630502881,,0.0165,0.0234,,,Technology
3,INTC,,50863.0,,,2015,,55355000000,20676000000,34679000000,0.6264836058169994,12128000000,7930000000,0,7930000000,619000000,20677000000,41353000000,124000000.0,337000000,8711000000,23260000000,0.42019691084816185,14002000000,0.252949146418571,210000000,14212000000,0.2567428416583868,2792000000,11420000000,0.2063047601842652,2.41,2.33,4742000000,4894000000,,,Semiconductors,,15308000000,10005000000,25313000000,4787000000,5167000000,3053000000,38320000000,31858000000,11332000000,3933000000,15265000000,12374000000,954000000,2688000000,63139000000,0,101459000000,2063000000,2634000000,0,2188000000,8761000000,15646000000,20036000000,0,2539000000,1256000000,23831000000,0,0,39477000000,0,23411000000,37614000000,60000000,0,61085000000,61085000000,100562000000,0,100562000000,22379000000,22670000000,7362000000,-1270000000,1305000000,-1081000000,-355000000,-312000000,350000000,-68000000,19017000000,-7326000000,-2924000000,-19744000000,21630000000,181000000,-8183000000,0,0,-2676000000,-4556000000,9144000000,1912000000,1000000,12747000000,15308000000,2561000000,19017000000,-7446000000,11571000000,2.2978341965588935,2.2978341965588935,2.5356914803865953,12.290998414781086,11.56360977647796,12.130602531915995,7.380932949297995,7.380932949297995,2.7888374794436053,2.5356914803865953,0.03245864969188814,6.35104049427343,2.2978341965588935,,,,,0.6020658591155048,0.6462634034542032,0.3890931312155649,41.804154302670625,0.6264836058169994,0.252949146418571,18.69526070230007,0.11255778196118629,,0.0084,0.0153,,,Technology
4,INTC,,50863.0,,,2014,,55870000000,20261000000,35609000000,0.6373545731161625,11537000000,8136000000,0,8136000000,589000000,20262000000,40523000000,141000000.0,192000000,8549000000,24542000000,0.4392697333094684,15347000000,0.27469124753892965,454000000,15801000000,0.28281725434043314,4097000000,11704000000,0.20948630749955252,2.39,2.31,4901000000,5056000000,,,Semiconductors,,2561000000,11493000000,14054000000,4427000000,4273000000,4976000000,27730000000,33238000000,10861000000,4446000000,15307000000,12335000000,3775000000,-485000000,64170000000,0,91900000000,2748000000,1604000000,0,2205000000,9454000000,16011000000,12059000000,0,3775000000,4190000000,20024000000,0,0,36035000000,0,21781000000,33418000000,666000000,0,55865000000,55865000000,91900000000,0,91900000000,23828000000,13663000000,11102000000,-703000000,1148000000,-99000000,-861000000,-249000000,1109000000,-181000000,20418000000,-10105000000,-2311000000,-21404000000,23336000000,579000000,-9905000000,0,0,-11117000000,-4409000000,1915000000,-13611000000,-15000000,-3113000000,2561000000,5674000000,20418000000,-10197000000,10221000000,3.141588058022017,3.141588058022017,3.1413069064148913,14.995285104357484,12.620284617122204,17.17100253022209,8.595592950406504,8.595592950406504,3.5165267379518648,3.1413069064148913,0.02512181761644687,7.603570078290278,3.141588058022017,,,,,0.6078890097932536,0.6450371431128613,0.39211099020674645,81.5625,0.6373545731161625,0.27469124753892965,20.950505683343774,0.1273558215451578,,0.0063,0.0132,,,Technology
5,INTC,,50863.0,,,2013,,52708000000,21187000000,31521000000,0.5980306594824315,10611000000,8088000000,0,8088000000,531000000,19230000000,40417000000,104000000.0,244000000,8032000000,20887000000,0.39627760491765956,12291000000,0.23319040752826894,320000000,12611000000,0.2392615921681718,2991000000,9620000000,0.18251498823707976,1.94,1.89,4970000000,5097000000,,,Semiconductors,,5674000000,14413000000,20087000000,3582000000,4172000000,4243000000,32084000000,31428000000,10513000000,5150000000,15663000000,10002000000,4397000000,-1216000000,60274000000,0,92358000000,2969000000,281000000,0,2096000000,8222000000,13568000000,13165000000,0,4397000000,2972000000,20534000000,0,0,34102000000,0,21536000000,35477000000,1243000000,0,58256000000,58256000000,92358000000,0,92358000000,24415000000,13446000000,7772000000,-900000000,1118000000,3140000000,271000000,267000000,2039000000,-234000000,20776000000,-10711000000,-1320000000,-29211000000,22947000000,222000000,-18073000000,0,0,-2440000000,-4479000000,1421000000,-5498000000,-9000000,-2804000000,5674000000,8478000000,20776000000,-10747000000,10029000000,2.108939791969926,2.108939791969926,2.330925030754345,12.77114308950104,14.71468453378001,12.250313742247481,5.913476921495958,5.913476921495958,3.0371109218058363,2.330925030754345,0.03645660473221634,6.254148346866472,2.108939791969926,,,,,0.630762900885684,0.5853817632518539,0.369237099114316,51.25819672131148,0.5980306594824315,0.23319040752826894,16.513320516341665,0.10415989952142748,,0.002,0.0089,,,Technology
6,ICE,,1571949.0,,,2018,,6276000000,2723000000,3553000000,0.5661249203314213,0,350000000,0,350000000,586000000,936000000,3659000000,22000000.0,244000000,586000000,3318000000,0.52868068833652,2617000000,0.4169853409815169,-97000000,2520000000,0.40152963671128106,500000000,1988000000,0.31676226896112175,3.46,3.43,575000000,579000000,,,Financial Data & Stock Exchanges,,724000000,0,724000000,953000000,0,65015000000,66692000000,1241000000,13085000000,10462000000,23547000000,0,0,1311000000,26099000000,0,92791000000,521000000,951000000,0,135000000,64501000000,66108000000,6490000000,0,2337000000,554000000,9381000000,0,0,75489000000,0,6000000,8317000000,-315000000,9193000000,17201000000,17201000000,92690000000,0,92690000000,0,7441000000,6717000000,27000000,130000000,-96000000,-44000000,-33000000,1000000,-134000000,2533000000,0,-1246000000,-306000000,77000000,-280000000,-1755000000,-883000000,0,-1278000000,-555000000,2253000000,-463000000,-11000000,304000000,1872000000,1568000000,2533000000,-280000000,2253000000,2.5479042317307132,2.5479042317307132,6.983190039834289,22.045523485915492,6.585519412381951,19.45250807367954,17.302211089617057,17.302211089617057,6.068059360651704,6.983190039834289,0.012663570927683845,15.233122570825799,2.5479042317307132,76.22,77.48,42098246432.0,0.1984126984126984,0.18537358148958413,4.38864019533748,0.8135379508788568,10.237704918032787,0.5661249203314213,0.4169853409815169,11.557467589093658,0.021424491599400804,0.8034242609513295,0.0151,0.022,6.6487346329190435,5.652715990874591,Financial Services
7,ICE,,1571949.0,,,2017,,5834000000,2539000000,3295000000,0.5647925951319849,0,345000000,0,345000000,535000000,880000000,3419000000,0.0,187000000,535000000,3211000000,0.5503942406582105,2415000000,0.41395269112101474,102000000,2517000000,0.43143640726774085,-25000000,2514000000,0.4309221803222489,4.27,4.23,589000000,594000000,,,Financial Data & Stock Exchanges,,535000000,16000000,551000000,903000000,0,52108000000,53562000000,1246000000,12216000000,10269000000,22485000000,0,0,971000000,24702000000,0,78264000000,462000000,1833000000,0,121000000,51755000000,54171000000,4267000000,0,2283000000,591000000,7141000000,0,0,61312000000,0,6000000,6825000000,-223000000,10316000000,16924000000,16924000000,78236000000,0,78236000000,0,6100000000,5565000000,-651000000,135000000,-230000000,-135000000,-88000000,17000000,-246000000,2085000000,0,449000000,0,0,-357000000,92000000,-1259000000,0,-1037000000,-476000000,801000000,-1971000000,12000000,218000000,1568000000,1350000000,2085000000,-357000000,1728000000,2.559734804177499,2.559734804177499,7.425600244412067,17.231882190095465,6.460686600221484,25.069995269618058,20.777434928489207,20.777434928489207,4.858582388686562,7.425600244412067,0.010987754883894706,15.224525638710682,2.559734804177499,,,,,0.2162424614126546,3.622784211770267,0.7833997751201063,13.459893048128341,0.5647925951319849,0.41395269112101474,14.854644292129521,0.032122048451395276,,0.025699999999999997,0.0326,,,Financial Services
8,ICE,,1571949.0,,,2016,,5958000000,2778000000,3180000000,0.5337361530715005,0,323000000,0,323000000,610000000,933000000,3711000000,0.0,178000000,610000000,2790000000,0.46827794561933533,2247000000,0.3771399798590131,-218000000,2029000000,0.3405505203088285,580000000,1422000000,0.23867069486404835,2.39,2.37,595000000,599000000,,,Financial Data & Stock Exchanges,,407000000,23000000,430000000,777000000,0,55926000000,57133000000,1129000000,12291000000,10420000000,22711000000,432000000,0,598000000,24870000000,0,82003000000,388000000,2493000000,0,114000000,55622000000,58617000000,3871000000,0,2958000000,767000000,7596000000,0,0,66213000000,0,6000000,4789000000,-344000000,11266000000,15717000000,15717000000,81930000000,0,81930000000,455000000,6364000000,5957000000,114000000,124000000,-142000000,-65000000,14000000,42000000,-6000000,2149000000,0,-425000000,0,0,-473000000,-898000000,-949000000,0,-104000000,-409000000,0,-1462000000,-9000000,-220000000,407000000,627000000,2149000000,-365000000,1784000000,2.1934401709613796,2.1934401709613796,5.786220068311514,24.243529653305206,7.667953667953668,19.32415872589686,16.04201915635179,16.04201915635179,6.905170006566107,5.786220068311514,0.011863910503843078,14.491505077777777,2.1934401709613796,,,,,0.1916637196200139,4.212826875357893,0.8074460690462544,11.398876404494382,0.5337361530715005,0.3771399798590131,9.047528154227907,0.017340828994061194,,0.0165,0.0234,,,Financial Services
9,ICE,,1571949.0,,,2015,,4682000000,2158000000,2524000000,0.5390858607432721,0,312000000,0,312000000,374000000,686000000,2844000000,0.0,97000000,374000000,2103000000,0.4491670226398975,1838000000,0.39256727894062365,-185000000,1653000000,0.3530542503203759,358000000,1274000000,0.27210593763348995,2.29,2.278,555000000,560000000,,,Financial Data & Stock Exchanges,,627000000,29000000,656000000,700000000,0,51957000000,53313000000,1037000000,12079000000,10758000000,22837000000,299000000,0,501000000,24674000000,0,77987000000,398000000,2591000000,0,98000000,51656000000,54743000000,4717000000,0,2837000000,815000000,8369000000,0,0,63112000000,0,1000000,4148000000,-188000000,10847000000,14808000000,14808000000,77920000000,0,77920000000,328000000,7308000000,6681000000,-108000000,111000000,-321000000,-45000000,-21000000,27000000,-40000000,1311000000,0,-3811000000,-5000000,1089000000,-571000000,-3298000000,-1028000000,0,-705000000,-331000000,4040000000,1976000000,-14000000,-25000000,627000000,652000000,1311000000,-277000000,1034000000,1.9774310545988654,1.9774310545988654,6.254121968496369,22.984143686420722,6.688571428571429,28.318954600096713,22.335468387871856,22.335468387871856,6.106366561016515,6.254121968496369,0.011303950258019557,17.100712818116975,1.9774310545988654,,,,,0.18987780014617822,4.262020529443544,0.8092630823085899,17.04123711340206,0.5390858607432721,0.39256727894062365,8.603457590491626,0.01633605600933489,,0.0084,0.0153,,,Financial Services
