date,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
2018,ALL,,899051,,,2018,,39815000000.0,0.0,0.0,0.0,0.0,5869000000.0,0.0,5869000000.0,30925000000.0,36794000000.0,37071000000.0,0.0,332000000.0,511000000.0,3587000000.0,0.09009167399221399,0.0,0.0,939000000.0,2744000000.0,0.06891874921511992,492000000.0,2252000000.0,0.056561597387919126,5.78,5.7,347800000,353200000,,,Insurance—Property & Casualty,,499000000.0,3027000000,3526000000.0,15719000000.0,0.0,-9565000000.0,9680000000.0,1045000000.0,2530000000.0,713000000.0,3243000000.0,72738000000.0,0.0,25543000000.0,102569000000.0,0,112249000000.0,7155000000.0,0.0,0,0.0,77331000000.0,84486000000.0,6451000000.0,0.0,425000000.0,-425000000.0,6451000000.0,0.0,0.0,90937000000.0,1930000000,9000000.0,45708000000.0,-1557000000.0,-24778000000.0,21312000000.0,21312000000.0,112249000000.0,0,112249000000.0,75765000000.0,6451000000.0,5952000000.0,0,0,887000000,-1052000000,0,851000000,1525000000,5175000000,-277000000.0,-1473000000.0,-44363000000.0,44529000000.0,-135000000.0,-1719000000.0,-400000000.0,0.0,-2688000000.0,-748000000.0,262000000.0,-3574000000.0,0.0,-118000000.0,499000000.0,617000000.0,5175000000,-277000000.0,4898000000.0,1.4253402173958332,1.4253402173958332,0.7629499111676504,13.488832465870336,2.5329219415993385,6.201888671527154,5.86992284311884,5.86992284311884,0.8413586677958578,0.7629499111676504,0.024624014090981475,10.127920466445497,1.4253402173958332,87.34,88.77,21758957900.0,0.1793002915451895,0.1898636068027332,4.266938813813814,0.8101363931972668,8.265060240963855,0.0,0.0,10.566816816816816,0.02006253953264617,0.8082381217163683,0.0151,0.023600000000000003,6.68848124631008,5.163401117005377,Financial Services
2017,ALL,,899051,,,2017,,38524000000.0,0.0,0.0,0.0,0.0,4658000000.0,0.0,4658000000.0,29789000000.0,34447000000.0,34533000000.0,0.0,335000000.0,483000000.0,4809000000.0,0.12483127401100613,0.0,0.0,0.0,3991000000.0,0.1035977572422386,802000000.0,3189000000.0,0.08277956598484063,8.49,8.36,362000000,367800000,,,Insurance—Property & Casualty,,617000000.0,1944000000,2561000000.0,14707000000.0,0.0,-8921000000.0,8347000000.0,1072000000.0,2181000000.0,0.0,2181000000.0,74297000000.0,0.0,26525000000.0,104075000000.0,0,112422000000.0,6471000000.0,0.0,0,0.0,77050000000.0,83521000000.0,6350000000.0,0.0,782000000.0,-782000000.0,6350000000.0,0.0,0.0,89871000000.0,1746000000,9000000.0,43162000000.0,306000000.0,-22672000000.0,22551000000.0,22551000000.0,112422000000.0,0,112422000000.0,76241000000.0,6350000000.0,5733000000.0,0,0,292000000,-342000000,0,83000000,350000000,4314000000,-299000000.0,-1671000000.0,-36149000000.0,36955000000.0,-46000000.0,-1210000000.0,0.0,0.0,-1495000000.0,-641000000.0,-787000000.0,-2923000000.0,0.0,181000000.0,617000000.0,436000000.0,4314000000,-299000000.0,4015000000.0,1.5803688917475942,1.5803688917475942,0.9251089938168415,11.175571927814362,2.6194329230978446,8.876438076662517,8.261219025915624,8.261219025915624,0.7255303152562409,0.9251089938168415,0.017985965340789146,8.603014946516948,1.5803688917475942,,,,,0.20059241073811176,3.985233470799521,0.7994075892618883,11.913432835820895,0.0,0.0,14.141279765864043,0.02836633399156749,,0.025699999999999997,0.0326,,,Financial Services
2016,ALL,,899051,,,2016,,36534000000.0,0.0,0.0,0.0,0.0,4106000000.0,0.0,4106000000.0,30219000000.0,34325000000.0,33780000000.0,0.0,295000000.0,382000000.0,3431000000.0,0.09391251984452838,0.0,0.0,0.0,2754000000.0,0.07538183609788142,877000000.0,1877000000.0,0.051376799693436254,4.72,4.67,372800000,377300000,,,Insurance—Property & Casualty,,436000000.0,4288000000,4724000000.0,14342000000.0,0.0,-8745000000.0,10321000000.0,1065000000.0,1219000000.0,0.0,1219000000.0,73607000000.0,0.0,22398000000.0,98289000000.0,0,108610000000.0,6184000000.0,0.0,0,0.0,75506000000.0,81690000000.0,6347000000.0,0.0,487000000.0,-487000000.0,6347000000.0,0.0,0.0,88037000000.0,1746000000,9000000.0,40678000000.0,-416000000.0,-21444000000.0,20573000000.0,20573000000.0,108610000000.0,0,108610000000.0,77895000000.0,6347000000.0,5911000000.0,0,0,923000000,-306000000,0,401000000,811000000,3993000000,-313000000.0,-569000000.0,-37322000000.0,35823000000.0,-145000000.0,-2526000000.0,-17000000.0,0.0,-1337000000.0,-602000000.0,430000000.0,-1526000000.0,0.0,-59000000.0,436000000.0,495000000.0,3993000000,-313000000.0,3680000000.0,1.3701165714130172,1.3701165714130172,0.7715390656287295,15.017265968929145,2.54734346674104,7.659621799913045,7.059205665835211,7.059205665835211,1.0040238079657076,0.7715390656287295,0.021357054015851834,9.938329415237542,1.3701165714130172,,,,,0.18942086364054875,4.27924950177417,0.8105791363594512,9.335593220338984,0.0,0.0,9.123608613230934,0.01728201823036553,,0.0165,0.0234,,,Financial Services
2015,ALL,,899051,,,2015,,35653000000.0,0.0,0.0,0.0,0.0,4081000000.0,0.0,4081000000.0,27962000000.0,32043000000.0,32371000000.0,0.0,292000000.0,371000000.0,3945000000.0,0.11064987518581887,0.0,0.0,0.0,3282000000.0,0.0920539646032592,1111000000.0,2171000000.0,0.060892491515440496,5.12,5.05,401100000,406800000,,,Insurance—Property & Casualty,,495000000.0,2122000000,2617000000.0,14062000000.0,0.0,-8518000000.0,8161000000.0,1024000000.0,1219000000.0,0.0,1219000000.0,70026000000.0,0.0,24226000000.0,96495000000.0,0,104656000000.0,5892000000.0,0.0,0,0.0,73615000000.0,79507000000.0,5124000000.0,0.0,90000000.0,-90000000.0,5124000000.0,0.0,0.0,84631000000.0,1746000000,9000000.0,39413000000.0,-755000000.0,-20388000000.0,20025000000.0,20025000000.0,104656000000.0,0,104656000000.0,72148000000.0,5124000000.0,4629000000.0,0,0,346000000,-312000000,0,-214000000,728000000,3616000000,-303000000.0,-242000000.0,-36672000000.0,38102000000.0,-143000000.0,742000000.0,-20000000.0,0.0,-2808000000.0,-599000000.0,-1093000000.0,-4520000000.0,0.0,-162000000.0,495000000.0,657000000.0,3616000000,-303000000.0,3313000000.0,1.2138157002921348,1.2138157002921348,0.6817563570625192,11.196066051750345,2.535414592518845,7.336752006746151,6.721974391136614,6.721974391136614,0.8053698158818262,0.6817563570625192,0.0246434522401158,7.334767908326996,1.2138157002921348,,,,,0.19134115578657698,4.226267166042447,0.808658844213423,11.23972602739726,0.0,0.0,10.841448189762797,0.020744152270295062,,0.0084,0.0153,,,Financial Services
2014,ALL,,899051,,,2014,,35239000000.0,0.0,0.0,0.0,0.0,4341000000.0,0.0,4341000000.0,26247000000.0,30588000000.0,31003000000.0,0.0,322000000.0,366000000.0,4924000000.0,0.13973154743324157,0.0,0.0,0.0,4236000000.0,0.1202077243962655,1386000000.0,2850000000.0,0.08087630182468288,6.37,6.27,431400000,438200000,,,Insurance—Property & Casualty,,657000000.0,2540000000,3197000000.0,13955000000.0,0.0,51410000000.0,68562000000.0,1031000000.0,1219000000.0,0.0,1219000000.0,73611000000.0,0.0,-35890000000.0,39971000000.0,0,108533000000.0,5694000000.0,0.0,0,0.0,75341000000.0,81035000000.0,5194000000.0,0.0,715000000.0,-715000000.0,5194000000.0,0.0,0.0,86229000000.0,1746000000,9000000.0,37842000000.0,561000000.0,-17854000000.0,22304000000.0,22304000000.0,108533000000.0,0,108533000000.0,76151000000.0,5194000000.0,4537000000.0,0,0,-280000000,-1325000000,0,-42000000,300000000,3236000000,-288000000.0,453000000.0,-45174000000.0,46015000000.0,615000000.0,1621000000.0,-1006000000.0,0.0,-2301000000.0,-564000000.0,-1004000000.0,-4875000000.0,0.0,-18000000.0,657000000.0,675000000.0,3236000000,-288000000.0,2948000000.0,1.3498657813961619,1.3498657813961619,0.8543774337597548,10.564002241494737,2.5251881046219995,10.212824419355496,9.303895670043262,9.303895670043262,0.8173082078516553,0.8543774337597548,0.01873293211400384,7.0358258302721355,1.3498657813961619,,,,,0.2055043166594492,3.8660778335724535,0.7944956833405508,13.15527950310559,0.0,0.0,12.777977044476327,0.026259294408152358,,0.0063,0.0132,,,Financial Services
2013,ALL,,899051,,,2013,,34507000000.0,0.0,0.0,0.0,0.0,4387000000.0,0.0,4387000000.0,25108000000.0,29495000000.0,31111000000.0,0.0,367000000.0,368000000.0,4131000000.0,0.1197148404671516,0.0,0.0,0.0,3396000000.0,0.098414814385487,1116000000.0,2280000000.0,0.06607355029414322,4.87,4.81,464400000,470300000,,,Insurance—Property & Casualty,,675000000.0,2393000000,3068000000.0,12858000000.0,0.0,50896000000.0,66822000000.0,1024000000.0,1243000000.0,0.0,1243000000.0,73367000000.0,0.0,-18936000000.0,56698000000.0,0,123520000000.0,4664000000.0,0.0,0,0.0,91175000000.0,95839000000.0,6201000000.0,0.0,635000000.0,-635000000.0,6201000000.0,0.0,0.0,102040000000.0,780000000,9000000.0,35580000000.0,1046000000.0,-15935000000.0,21480000000.0,21480000000.0,123520000000.0,0,123520000000.0,75760000000.0,6201000000.0,5526000000.0,0,0,-269000000,-934000000,0,386000000,1863000000,4242000000,-207000000.0,-291000000.0,-29275000000.0,30847000000.0,506000000.0,1580000000.0,-2627000000.0,0.0,-1834000000.0,-358000000.0,-1134000000.0,-5953000000.0,0.0,-131000000.0,675000000.0,806000000.0,4242000000,-207000000.0,4035000000.0,1.1307318262793298,1.1307318262793298,0.7038606551853248,10.652684047578948,2.683698864520143,6.01936050272119,5.725629332503536,5.725629332503536,0.8872142165881749,0.7038606551853248,0.01473971659708942,7.217167666056644,1.1307318262793298,,,,,0.17389896373056996,4.750465549348231,0.8261010362694301,9.253405994550409,0.0,0.0,10.614525139664805,0.018458549222797927,,0.002,0.0089,,,Financial Services
2018,GOOGL,,1652044,,,2018,,136819000000.0,59549000000.0,77270000000.0,0.5647607422945643,21419000000.0,8126000000.0,16333000000.0,24459000000.0,0.0,45878000000.0,105427000000.0,1878000000.0,114000000.0,9035000000.0,44062000000.0,0.3220459146755933,26321000000.0,0.19237825155862856,8592000000.0,34913000000.0,0.255176547116994,4177000000.0,30736000000.0,0.22464716157843576,2.211001,2.185001,13901396520,14066813595,,,Internet Content & Information,,16701000000.0,92439000000,109140000000.0,21193000000.0,1107000000.0,4236000000.0,135676000000.0,59719000000.0,17888000000.0,2220000000.0,20108000000.0,13859000000.0,737000000.0,2693000000.0,97116000000.0,0,232792000000.0,4378000000.0,0.0,69000000,1784000000.0,28389000000.0,34620000000.0,4012000000.0,396000000.0,1264000000.0,14872000000.0,20544000000.0,0.0,62000000.0,55164000000.0,0,45049000000.0,134885000000.0,-2306000000.0,0.0,177628000000.0,177628000000.0,232792000000.0,0,232792000000.0,106298000000.0,4012000000.0,-12689000000.0,778000000,9353000000,4908000000,-2169000000,1067000000,-1880000000,-6839000000,47971000000,-25139000000.0,-1491000000.0,-52231000000.0,50259000000.0,98000000.0,-28504000000.0,-6827000000.0,950000000.0,-9075000000.0,0.0,1773000000.0,-13179000000.0,-302000000.0,5986000000.0,16701000000.0,10715000000.0,47971000000,-25139000000.0,22832000000.0,0.21482537902624693,0.21482537902624693,0.27890133991385835,1.2415084079149594,6.45585806634266,1.6712947803816656,0.7954598075019113,0.7954598075019113,0.021429272596943685,0.27890133991385835,-0,0.5780491676654302,0.21482537902624693,54.9,56.1,669652164623.0,0.1196402486179933,0.7630330939207532,0.3105591460805729,0.2369669060792467,289.780701754386,0.5647607422945643,0.19237825155862856,17.303578264688,0.13203202859204782,1.1567105241049689,0.0151,0.022,9.565713997987663,9.508860832125317,Communication Services
2017,GOOGL,,1652044,,,2017,,110855000000.0,45583000000.0,65272000000.0,0.5888051959767263,16625000000.0,6872000000.0,12893000000.0,19765000000.0,0.0,36390000000.0,81973000000.0,1312000000.0,109000000.0,6915000000.0,34217000000.0,0.30866447160705424,26146000000.0,0.2358576518876009,1047000000.0,27193000000.0,0.2453024220829011,14531000000.0,12662000000.0,0.11422128005051645,0.9135,0.9,13860968730,14068883261,,,Internet Content & Information,,10715000000.0,91156000000,101871000000.0,18705000000.0,749000000.0,2983000000.0,124308000000.0,42383000000.0,16747000000.0,2692000000.0,19439000000.0,7813000000.0,680000000.0,2672000000.0,72987000000.0,0,197295000000.0,3137000000.0,0.0,881000000,1432000000.0,18733000000.0,24183000000.0,3969000000.0,340000000.0,430000000.0,15871000000.0,20610000000.0,0.0,26000000.0,44793000000.0,0,40247000000.0,113247000000.0,-992000000.0,0.0,152502000000.0,152502000000.0,197295000000.0,0,197295000000.0,98969000000.0,3969000000.0,-6746000000.0,258000000,7679000000,9246000000,-3768000000,731000000,8601000000,331000000,37091000000,-13184000000.0,-287000000.0,-93940000000.0,74492000000.0,1518000000.0,-31401000000.0,-4377000000.0,800000000.0,-4846000000.0,0.0,125000000.0,-8298000000.0,405000000.0,-2203000000.0,10715000000.0,12918000000.0,37091000000,-13184000000.0,23907000000.0,0.2675292001514686,0.2675292001514686,0.36803696794460566,3.222140110685457,5.926490243250468,1.7065603413853374,1.0999632816990446,1.0999632816990446,0.05545456952093108,0.36803696794460566,-0,1.3960045128315197,0.2675292001514686,,,,,0.7729643427354976,0.2937207380886808,0.2270356572645024,237.44036697247705,0.5888051959767263,0.2358576518876009,8.302841929941902,0.06417800755214273,,0.025699999999999997,0.0326,,,Communication Services
2016,GOOGL,,1652044,,,2016,,90272000000.0,35138000000.0,55134000000.0,0.6107541651896491,13948000000.0,6985000000.0,10485000000.0,17470000000.0,0.0,31418000000.0,66556000000.0,1220000000.0,124000000.0,6144000000.0,30418000000.0,0.33695941155618575,23716000000.0,0.26271712158808935,434000000.0,24150000000.0,0.26752481389578164,4672000000.0,19478000000.0,0.2157701169797944,1.416001,1.392501,13755644215,13987786146,,,Internet Content & Information,,12918000000.0,73415000000,86333000000.0,14232000000.0,268000000.0,4575000000.0,105408000000.0,34234000000.0,16468000000.0,3307000000.0,19775000000.0,5878000000.0,383000000.0,1819000000.0,62089000000.0,0,167497000000.0,2041000000.0,0.0,554000000,1099000000.0,13062000000.0,16756000000.0,3935000000.0,202000000.0,226000000.0,7342000000.0,11705000000.0,0.0,0.0,28461000000.0,0,36307000000.0,105131000000.0,-2402000000.0,0.0,139036000000.0,139036000000.0,167497000000.0,0,167497000000.0,79293000000.0,3935000000.0,-8983000000.0,-38000000,6703000000,3300000000,-2578000000,110000000,3348000000,449000000,36036000000,-10212000000.0,-986000000.0,-85618000000.0,67839000000.0,-2188000000.0,-31165000000.0,-10064000000.0,0.0,-3693000000.0,0.0,5425000000.0,-8332000000.0,-170000000.0,-3631000000.0,12918000000.0,16549000000.0,36036000000,-10212000000.0,25824000000.0,0.20376588345839192,0.20376588345839192,0.3138381045343072,1.4545021754040959,6.342889263631253,1.097072234066023,0.7861803022677595,0.7861803022677595,0.02484246249203698,0.3138381045343072,-0,0.6360639546492531,0.20376588345839192,,,,,0.830080538755918,0.20470237923990908,0.16991946124408197,184.91935483870967,0.6107541651896491,0.26271712158808935,14.0093213268506,0.11628864994596919,,0.0165,0.0234,,,Communication Services
2015,GOOGL,,1652044,,,2015,,74989000000.0,28164000000.0,46825000000.0,0.6244249156542959,12282000000.0,6136000000.0,9047000000.0,15183000000.0,0.0,27465000000.0,55629000000.0,999000000.0,104000000.0,5063000000.0,24818000000.0,0.3309552067636587,19360000000.0,0.25817119844243824,291000000.0,19651000000.0,0.26205176759258025,3303000000.0,16348000000.0,0.21800530744509194,1.1555,1.142,13696229917,13858138064,,,Internet Content & Information,,16549000000.0,56517000000,73066000000.0,13909000000.0,0.0,3139000000.0,90114000000.0,29016000000.0,15869000000.0,3847000000.0,19716000000.0,5183000000.0,251000000.0,3181000000.0,57347000000.0,0,147461000000.0,1931000000.0,3225000000.0,302000000,788000000.0,13064000000.0,19310000000.0,1995000000.0,151000000.0,189000000.0,5485000000.0,7820000000.0,0.0,225000000.0,27130000000.0,0,32982000000.0,89223000000.0,-1874000000.0,0.0,120331000000.0,120331000000.0,147461000000.0,0,147461000000.0,61700000000.0,5220000000.0,-11329000000.0,-179000000,5203000000,-409000000,-2094000000,203000000,-136000000,-2000000,26024000000,-9915000000.0,-236000000.0,-76540000000.0,63330000000.0,-350000000.0,-23711000000.0,-13728000000.0,0.0,-1780000000.0,0.0,11831000000.0,-3677000000.0,-434000000.0,-1798000000.0,16549000000.0,18347000000.0,26024000000,-9915000000.0,16109000000.0,0.21664469511404333,0.21664469511404333,0.3476386244351565,1.5946337660734002,5.391401250988569,1.6182924332837512,1.0017319707872712,1.0017319707872712,0.02711822920476027,0.3476386244351565,1.79851617200113E-4,0.5939266986770871,0.21664469511404333,,,,,0.8160191508263201,0.22546143554030135,0.18398084917367982,179.34615384615384,0.6244249156542959,0.25817119844243824,13.585859005576287,0.11086321128976476,,0.0084,0.0153,,,Communication Services
